Winter,Spring,Summer,Fall
274.537,195.5974,207.5266,287.5713
277.5293,211.5918,220.0847,292.7639
206.6011,219.1705,216.829,270.5163
265.3275,171.2579,192.5739,268.2896
301.3253,197.0313,209.113,296.4706
283.6394,231.2646,232.36,299.6637
297.493,230.5932,226.5476,299.467
276.9853,236.604,233.001,288.6311
293.8868,214.4075,225.2917,285.4902
302.232,239.4758,244.0881,318.754
297.5674,233.0751,232.629,310.3755
284.164,227.2752,230.6621,299.8533
297.6191,232.4558,235.809,313.5645
308.1579,232.6802,230.9476,315.4932
306.8823,229.0046,229.7279,323.7565
313.766,238.9969,238.8266,337.2528
327.7547,253.1599,275.5929,351.753
327.197,270.0784,276.8695,344.3732
353.3337,271.9491,292.0664,366.2979
332.0667,295.7819,312.6363,364.5481
328.8346,276.6976,281.2816,345.3312
328.8525,272.8587,293.9486,358.2667
331.9125,274.8207,293.2314,356.0099
338.639,284.0568,298.7889,351.4773
356.4404,294.7814,306.79,374.8627
372.992,302.0887,309.8545,379.704
368.0297,324.096,337.532,390.5798
377.4402,321.2106,328.6523,380.0568
383.1686,338.6191,343.9835,398.0976
361.764,346.2285,348.5001,377.7763
348.3878,316.8494,340.1492,372.1
362.6801,323.9805,327.6622,374.7902
378.4934,315.9168,328.6397,386.1785
376.0134,325.5141,332.2268,393.2849
370.261,317.9871,315.6755,378.6761
331.2402,310.1327,287.0688,344.5862
280.6512,277.9951,262.6892,333.208
315.9387,245.522,250.9271,341.8966
324.3702,271.4281,292.7374,359.851
313.9642,287.8737,271.2066,327.4954
325.2397,267.1944,274.3999,343.2576
331.7586,289.7109,284.6017,344.4804
347.4126,282.4825,275.5409,355.6959
336.8723,304.3694,319.5659,367.158
339.3862,313.6412,310.0533,345.2124
323.5291,314.5742,320.8496,340.3315
